Dziobak,	        ,	       ,	        ,	         ,	        ,	Dziobak,	        ,	       ,	        ,	         ,	        ,	Dziobak,	        ,	       ,	        ,	         ,	        ,	
PositionX: , PositionY: , PositionZ: , VelocityX: , VelocityY: , VelocityZ: , PositionX: , PositionY: , PositionZ: , VelocityX: , VelocityY: , VelocityZ: , PositionX: , PositionY: , PositionZ: , VelocityX: , VelocityY: , VelocityZ: , 
444.0 , 577.0 , 2.147483647E9 , 1.8685121107266446E-5 , 2.000000970585699 , Infinity , 436.0 , 478.0 , 473.0 , 3.0013207725571753 , 1.1582581746346347E-6 , 2.0000804287217826 , 359.0 , 891.0 , 483.0 , 0.001320772557173999 , 1.0000011582581747 , 8.04287217822156E-5 , 
444.0 , 587.0 , 2.147483647E9 , 1.9377162629757796E-5 , 2.000001022952138 , Infinity , 451.0 , 478.0 , 483.0 , 3.0013213632944153 , 1.1868747356108028E-6 , Infinity , 359.0 , 896.0 , 483.0 , 0.0013213632944140746 , 1.0000011868747356 , Infinity , 
444.0 , 597.0 , 2.147483647E9 , 2.0069204152249146E-5 , 2.0000010770553236 , Infinity , 466.0 , 478.0 , 2.147483647E9 , 3.0013218000137796 , 1.214818780455406E-6 , Infinity , 359.0 , 901.0 , 2.147483647E9 , 0.0013218000137782111 , 1.0000012148187805 , Infinity , 
444.0 , 607.0 , 2.147483647E9 , 2.0761245674740496E-5 , 2.0000011329831096 , Infinity , 481.0 , 478.0 , 2.147483647E9 , 3.0013221359449807 , 1.2421137407139438E-6 , Infinity , 359.0 , 906.0 , 2.147483647E9 , 0.001322135944979501 , 1.0000012421137408 , Infinity , 
444.0 , 617.0 , 2.147483647E9 , 2.1453287197231847E-5 , 2.0000011908293773 , Infinity , 496.0 , 478.0 , 2.147483647E9 , 3.0013224023416987 , 1.268781971916841E-6 , Infinity , 359.0 , 911.0 , 2.147483647E9 , 0.0013224023416974935 , 1.000001268781972 , Infinity , 
444.0 , 627.0 , 2.147483647E9 , 2.2145328719723197E-5 , 2.000001250694561 , Infinity , 511.0 , 478.0 , 2.147483647E9 , 3.001322618754441 , 1.2948448146432229E-6 , Infinity , 359.0 , 916.0 , 2.147483647E9 , 0.0013226187544398758 , 1.0000012948448147 , Infinity , 
444.0 , 637.0 , 2.147483647E9 , 2.2837370242214547E-5 , 2.000001312686229 , Infinity , 526.0 , 478.0 , 2.147483647E9 , 3.0013227980365955 , 1.3203226514729648E-6 , Infinity , 359.0 , 921.0 , 2.147483647E9 , 0.00132279803659413 , 1.0000013203226514 , Infinity , 
444.0 , 647.0 , 2.147483647E9 , 2.3529411764705897E-5 , 2.0000013769197307 , Infinity , 541.0 , 478.0 , 2.147483647E9 , 3.0013229489845488 , 1.3452349601464342E-6 , Infinity , 359.0 , 926.0 , 2.147483647E9 , 0.001322948984547276 , 1.00000134523496 , Infinity , 
444.0 , 657.0 , 2.147483647E9 , 2.4221453287197247E-5 , 2.00000144351891 , Infinity , 556.0 , 478.0 , 2.147483647E9 , 3.0013230778206434 , 1.3696003632232973E-6 , Infinity , 359.0 , 931.0 , 2.147483647E9 , 0.0013230778206419962 , 1.0000013696003631 , Infinity , 
444.0 , 667.0 , 2.147483647E9 , 2.4913494809688598E-5 , 2.000001512616905 , Infinity , 571.0 , 478.0 , 2.147483647E9 , 3.0013231890701983 , 1.3934366745064536E-6 , Infinity , 359.0 , 936.0 , 2.147483647E9 , 0.001323189070196998 , 1.0000013934366745 , Infinity , 
444.0 , 677.0 , 2.147483647E9 , 2.5605536332179948E-5 , 2.0000015843570336 , Infinity , 586.0 , 478.0 , 2.147483647E9 , 3.001323286102937 , 1.4167609424743034E-6 , Infinity , 359.0 , 941.0 , 2.147483647E9 , 0.001323286102935844 , 1.0000014167609426 , Infinity , 
444.0 , 687.0 , 2.147483647E9 , 2.6297577854671298E-5 , 2.0000016588937877 , Infinity , 601.0 , 478.0 , 2.147483647E9 , 3.001323371479619 , 1.4395894909438776E-6 , Infinity , 359.0 , 946.0 , 2.147483647E9 , 0.0013233714796177646 , 1.000001439589491 , Infinity , 
444.0 , 697.0 , 2.147483647E9 , 2.698961937716265E-5 , 2.000001736393943 , Infinity , 616.0 , 478.0 , 2.147483647E9 , 3.001323447180992 , 1.4619379571686405E-6 , Infinity , 359.0 , 951.0 , 2.147483647E9 , 0.0013234471809909876 , 1.0000014619379571 , Infinity , 
